,index,Review,sentiment
0,1,Great for the jawbone.,1
1,3,The mic is great.,1
2,6,If you are Razr owner...you must have this!,1
3,9,And the sound quality is great.,1
4,10,He was very impressed when going from the original battery to the extended battery.,1
5,12,Very good quality though,1
6,14,Highly recommend for any one who has a blue tooth phone.,1
7,16,So Far So Good!.,1
8,17,Works great!.,1
9,20,I bought this to use with my Kindle Fire and absolutely loved it!,1
10,22,I have yet to run this new battery below two bars and that's three days without charging.,1
11,24,Great Pocket PC / phone combination.,1
12,25,I've owned this phone for 7 months now and can say that it's the best mobile phone I've had.,1
13,30,This product is ideal for people like me whose ears are very sensitive.,1
14,33,Car charger as well as AC charger are included to make sure you never run out of juice.Highy recommended,1
15,35,It has kept up very well.,1
16,37,The case is great and works fine with the 680.,1
17,41,Nice headset priced right.,1
18,43,Excellent bluetooth headset.,1
19,44,It has all the features I want,1
20,47,This case seems well made.,1
21,50,good protection and does not make phone too bulky.,1
22,51,A usable keyboard actually turns a PDA into a real-world useful machine instead of just a neat gadget.,1
23,52,This phone is pretty sturdy and I've never had any large problems with it.,1
24,53,I love this thing!,1
25,54,Everything about it is fine and reasonable for the price i.e.,1
26,56,I even dropped this phone into a stream and it was submerged for 15 seconds and it still works great!,1
27,57,I have been very happy with the 510 and have had NO complaints from any one regarding my sound quality on their end.,1
28,61,These headphones were a great find - and I think they are perhaps the best purchase I've made in the last several years - seriously.,1
29,66,It feels more comfortable than most headsets because I wear glasses and that gets in the way sometimes.,1
30,67,Great for iPODs too.,1
31,68,This device is great in several situations:1.),1
32,71,Great choice!,1
33,72,Nice docking station for home or work.,1
34,73,This is a beautiful phone.,1
35,74,Love this product.,1
36,76,This is a great little item.,1
37,79,I wear it everyday and it holds up very well.,1
38,84,The headsets are easy to use and everyone loves them.,1
39,85,This phone works great.,1
40,87,Product was excellent and works better than the verizon one and Boy was it cheaper!,1
41,88,The phone loads super!,1
42,90,Made very sturdy.,1
43,91,Worked great!.,1
44,94,Will order from them again!,1
45,97,Best I've found so far .... I've tried 2 other bluetooths and this one has the best quality (for both me and the listener) as well as ease of using.,1
46,99,Integrated seamlessly with the Motorola RAZR phone.,1
47,101,Definitely a bargain.,1
48,102,The price was very good and with the free shipping and all it was a good purchase.,1
49,110,This phone is slim and light and the display is beautiful.,1
50,111,its a little geeky but i think thats its sex on toast and it rocks and oozes sex right down to its battery embedded sleek stylish leather case.,1
51,113,Absolutely great.,1
52,114,The keyboard is a nice compromise between a full QWERTY and the basic cell phone number keypad.,1
53,116,It is very comfortable on the ear.,1
54,117,It has been a winner for us.,1
55,118,)Setup couldn't have been simpler.,1
56,119,I've tried several different earpieces for my cell phone and this Jabra one is the first one I've found that fits my ear comfortably.,1
57,121,Iam very pleased with my purchase.,1
58,123,Gets the job done.,1
59,124,Great audio!.,1
60,129,It is so small and you don't even realize that it is there after a while of getting used to it.,1
61,130,The accompanied software is almost brilliant.,1
62,131,Headset works great & was packaged nicely to avoid any damage.,1
63,132,!I definitly recommend!!,1
64,135,Very good stuff for the price.,1
65,136,My headset works just peachy-keen.,1
66,138,Voice recognition is tremendous!,1
67,144,I got this phone on reccomendation from a relative and I'm glad I did.,1
68,151,I had absolutely no problem with this headset linking to my 8530 Blackberry Curve!,1
69,154,This phone is very fast with sending any kind of messages and web browsing is significantly faster than previous phones i have used.,1
70,156,This item is fantastic and works perfectly!,1
71,157,And I just love the colors!,1
72,158,W810i is just SUPERB.,1
73,160,Great charger.,1
74,164,Great Value.,1
75,169,EXCELLENT SERVICE!!!!!!!!.,1
76,172,The iGo chargers and tips are really great.,1
77,173,The file browser offers all the options that one needs.Handsfree is great.,1
78,174,Superb Phone on a Great Network.,1
79,181,The sound quality is good and functionality is awesome.,1
80,184,Incredible!.,1
81,186,Great phone!.,1
82,190,Any ring tone..Overall good phone to buy..,1
83,191,Lately they have been extremely nice and helpful on the phone.,1
84,195,You'll love how thin it is.,1
85,200,All in all I think it was a good investment.,1
86,202,The best electronics of the available FM Transmitters.,1
87,206,I've had this for nearly 2 years and it has worked great for me.,1
88,207,Good transmit audio.,1
89,211,Great price also!,1
90,213,fast service.,1
91,214,I would highly recommend this.,1
92,215,I would recommend this.,1
93,218,I'm still infatuated with this phone.,1
94,224,These are certainly very comfortable and functionality is decent.,1
95,225,I usually don't like headbands but this one is very lightweight & doesn't mess up my hair.,1
96,232,Great sound and service.,1
97,233,Really pleased with this product so far.,1
98,234,One of my favorite purchases ever.,1
99,235,best bluetooth on the market.,1
100,236,Authentic leather with nice shine and comfort .I recommend you this case !!,1
101,237,I was very excited to get this headset because I thought it was really cute.,1
102,244,Worth every penny.,1
103,245,Excellent wallet type phone case.,1
104,246,Nice headphones for the price and they work great!,1
105,250,O my gosh the best phone I have ever had.,1
106,251,It's very attractive and appears to be of good quality.,1
107,252,I love all the features and form factor.,1
108,256,Great Earpiece.,1
109,257,Excellent hands free tool.,1
110,258,Great for using with your home stereo.,1
111,259,Good product - incredible value.,1
